"id";"hand";"brand";"model";"isYahoo";"joined";"yahooTaskFinished"
"50";"Right";"DOCOMO";"F-10D";"1";"1427378716049";NULL
"51";"Left";"asus";"ASUS_T00P";"1";"1427390595425";NULL
"52";"Right";"google";"Nexus 5";"1";"1427413167899";NULL
"53";"Right";"Huawei";"302HW";"1";"1427418057918";NULL
"54";"Right";"SBM";"302KC";"0";"1427418272593";NULL
"55";"Right";"KDDI";"SHL22";"1";"1427418970283";NULL
"56";"Right";"KDDI";"SHL22";"1";"1427419795115";NULL
"57";"Right";"DOCOMO";"F-05F";"1";"1427426781518";NULL
"58";"Right";"asus";"ASUS_T00P";"1";"1427427487982";NULL
"59";"Right";"samsung";"SC-02F";"1";"1427427944521";NULL
"60";"Right";"docomo";"SO-01G";"1";"1427428570642";NULL
"61";"Right";"docomo";"SO-03F";"1";"1427428978857";NULL
"62";"Right";"SBM";"WX05SH";"1";"1427434873338";NULL
"63";"Right";"Huawei";"GL07S";"1";"1427444205112";NULL
"64";"Right";"SBM";"302KC";"0";"1427455551874";NULL
"65";"Right";"DOCOMO";"F-01F";"1";"1427457908626";NULL
"66";"Right";"htc";"HTL23";"1";"1427459061302";NULL
"67";"Right";"samsung";"SC-04E";"1";"1427462859302";NULL
"68";"Right";"samsung";"SC-06D";"1";"1427469368079";NULL
"69";"Right";"samsung";"SC-04E";"1";"1427506387191";NULL
"70";"Right";"SG";"305SH";"1";"1427528727362";NULL
"71";"Right";"google";"Nexus 5";"1";"1427530831892";NULL
"72";"Left";"SBM";"202K";"1";"1427549329881";NULL
"73";"Right";"google";"Nexus 5";"1";"1427550816619";NULL
"74";"Right";"google";"Nexus 7";"1";"1427616900277";NULL
"75";"Right";"SHARP";"SH90B";"1";"1427587078182";NULL
"76";"Right";"SG";"304SH";"0";"1427597300076";NULL
"77";"Right";"KDDI";"FJL22";"1";"1427606386807";NULL
"78";"Right";"google";"Nexus 5";"1";"1427608041770";NULL
"79";"Right";"KDDI";"SOL23";"1";"1427619365478";NULL
"80";"Right";"samsung";"GT-I9505";"1";"1428092565980";NULL
"81";"Right";"htc";"HTCONE";"0";"1428274636536";NULL
"82";"Right";"Sony";"C6903";"1";"1428362304266";NULL
"83";"Right";"Sony";"D5803";"0";"1428421693585";NULL
"84";"Right";"lge";"LG-D802";"0";"1428939064002";NULL
"85";"Right";"samsung";"GT-I9505";"0";"1428114380547";NULL
"86";NULL;"generic_x86";"Android SDK built for x86";"0";"1430119872785";NULL
"87";NULL;"generic_x86";"Android SDK built for x86";"0";"1430119872785";NULL
"88";NULL;"generic_x86";"Android SDK built for x86";"0";"1430119872785";NULL
"89";"Right";"motorola";"XT1032";"0";"1431932309190";NULL
"90";"Right";"google";"Nexus 7";"0";"1433397433038";NULL
"91";"Right";"motorola";"XT1032";"1";"1434084477878";NULL
"92";"Right";"samsung";"GT-I9505";"1";"1434085130454";NULL
"93";"Right";"samsung";"GT-I9505";"1";"1434085497948";NULL
"94";"Right";"samsung";"GT-I9505";"1";"1434087940674";NULL
"95";"Right";"samsung";"GT-I9505";"0";"1434088060334";NULL
"96";"Right";"motorola";"XT1032";"0";"1434508098101";NULL
"97";NULL;"motorola";"XT1032";"0";"1434698764258";NULL
"98";"Right";"motorola";"XT1032";"1";"1434698874876";NULL
"99";"Right";"samsung";"GT-I9505";"0";"1434699810674";NULL
"100";"Right";"google";"Nexus 6";"1";"1434701495077";NULL
"101";"Right";"google";"Nexus 6";"0";"1434706348751";NULL
"102";"Left";"asus";"ME173X";"1";"1434724711705";"1434930916743"
"103";"Right";"KDDI";"SOL24";"1";"1434726466125";NULL
"104";"Right";"google";"Nexus 7";"1";"1434726797306";NULL
"105";"Right";"KDDI";"SOL26";"1";"1434727188727";NULL
"106";"Right";"DOCOMO";"F-01F";"1";"1434729594329";NULL
"107";"Right";"docomo";"SO-01F";"1";"1434730373895";NULL
"108";"Right";"KDDI";"KYY21";"1";"1434731287397";NULL
"109";"Right";"docomo";"SO-01G";"1";"1434742728492";NULL
"110";"Right";"SBM";"401SO";"1";"1434743618305";NULL
"111";"Right";"KDDI";"SOL23";"1";"1434747290197";NULL
"112";"Right";"KDDI";"SOL23";"1";"1434747431572";NULL
"113";"Right";"KDDI";"SOL26";"1";"1434747670339";"1436420335509"
"114";"Right";"google";"Nexus 5";"1";"1434756474891";NULL
"115";"Right";"google";"Nexus 5";"1";"1434756787802";"1434954660143"
"116";"Right";"google";"Nexus 6";"1";"1434760121757";NULL
"117";"Right";"KDDI";"SOV31";"1";"1434760466385";NULL
"118";"Right";"lge";"L-01F";"1";"1434762470103";"1435050562128"
"119";"Right";"KDDI";"SOL23";"1";"1434763024655";NULL
"120";"Right";"KDDI";"SOL23";"1";"1434763522417";NULL
"121";"Right";"google";"Nexus 5";"1";"1434763539250";NULL
"122";"Left";"samsung";"SC-02E";"1";"1434764520190";NULL
"123";"Right";"docomo";"SO-04F";"1";"1434764820384";"1435149913985"
"124";"Right";"docomo";"SO-01E";"1";"1434765441217";NULL
"125";"Right";"docomo";"SO-01G";"1";"1434771744086";"1435203862123"
"126";"Left";"asus";"ASUS_T00P";"1";"1434771909496";NULL
"127";"Right";"samsung";"SC-04E";"1";"1434776590827";NULL
"128";"Right";"samsung";"SC-04F";"1";"1434777269861";NULL
"129";"Right";"DOCOMO";"SH-01F";"1";"1434778003286";NULL
"130";"Right";"KDDI";"SCL23";"1";"1434778652708";NULL
"131";"Right";"docomo";"SO-03F";"1";"1434780605954";NULL
"132";"Right";"SBM";"SBM303SH";"1";"1434780543074";NULL
"133";"Right";"google";"Nexus 5";"1";"1434796392197";NULL
"134";"Right";"google";"Nexus 6";"1";"1434799239042";NULL
"135";"Right";"KDDI";"SOL26";"1";"1434807925080";NULL
"136";"Right";"DOCOMO";"SH-06E";"1";"1434808003162";NULL
"137";"Right";"htc";"HTL22";"1";"1434808471996";"1435295714626"
"138";"Right";"SBM";"401SO";"1";"1434815584405";NULL
"139";"Right";"docomo";"SO-01G";"1";"1434815659711";NULL
"140";"Right";"KYOCERA";"404KC";"1";"1434834469374";NULL
"141";"Right";"KDDI";"SOL23";"1";"1434835752878";NULL
"142";"Right";"KDDI";"SHL21";"1";"1434836462682";NULL
"143";"Right";"docomo";"SO-04E";"1";"1434839161673";NULL
"144";"Right";"SBM";"SBM205SH";"1";"1434839250715";NULL
"145";"Right";"google";"Nexus 5";"1";"1434839681556";NULL
"146";"Left";"asus";"ASUS_T00P";"1";"1434840044414";NULL
"147";"Right";"docomo";"SO-02E";"1";"1434843819324";NULL
"148";"Right";"KDDI";"SOV31";"1";"1434846971562";NULL
"149";"Left";"samsung";"SC-04E";"1";"1434849120922";NULL
"150";"Right";"DOCOMO";"SH-01F";"1";"1434849360339";NULL
"151";"Right";"htc";"HTL22";"1";"1434852614722";NULL
"152";"Right";"KDDI";"SOL25";"1";"1434854203172";NULL
"153";"Left";"SBM";"SBM302SH";"1";"1434868629967";NULL
"154";"Right";"KDDI";"SHL25";"1";"1434870563699";NULL
"155";"Right";"DOCOMO";"SH-01F";"1";"1434874072530";NULL
"156";"Left";"SG";"402SH";"1";"1434876215577";NULL
"157";"Right";"docomo";"SO-01G";"1";"1434877791508";NULL
"158";"Right";"docomo";"SO-02E";"1";"1434885394724";NULL
"159";"Right";"SBM";"302KC";"1";"1434886374120";NULL
"160";"Right";"docomo";"SO-04E";"1";"1434886980672";NULL
"161";"Right";"SBM";"WX10K";"1";"1434894553263";NULL
"162";"Right";"KYOCERA";"404KC";"1";"1434903606246";"1435130168944"
"163";"Right";"docomo";"SO-04E";"1";"1434778846761";"1435307997873"
"164";"Right";"google";"Nexus 5";"1";"1434924830283";"1435145087044"
"165";"Right";"samsung";"SC-02E";"1";"1434928586103";"1435220265658"
"166";"Right";"samsung";"SC-04E";"1";"1434929010232";NULL
"167";"Right";"SBM";"401SO";"1";"1434935878671";NULL
"168";"Right";"Samsung";"SC-02C";"1";"1434936638423";NULL
"169";"Right";"BRCM";"CP-F50aK";"1";"1434940517447";NULL
"170";"Right";"SG";"305SH";"1";"1434944245982";NULL
"171";"Left";"DOCOMO";"SH-01F";"1";"1434948752980";NULL
"172";"Right";"docomo";"SO-04E";"1";"1434950325468";NULL
"173";"Right";"DOCOMO";"F-07E";"1";"1434963326011";NULL
"174";"Right";"DOCOMO";"F-07E";"1";"1434964727882";NULL
"175";"Right";"docomo";"SO-02E";"1";"1434966373446";NULL
"176";"Right";"docomo";"SO-02E";"1";"1434966373446";NULL
"177";"Right";"samsung";"GT-I9500";"1";"1434970300443";NULL
"178";"Right";"samsung";"SC-06D";"1";"1434976219825";NULL
"179";"Right";"samsung";"SC-06D";"1";"1434976999430";NULL
"180";"Right";"KDDI";"LGL22";"0";"1434977091513";NULL
"181";"Right";"KDDI";"LGL22";"1";"1434977342548";NULL
"182";"Right";"samsung";"SC-06D";"1";"1434978021716";NULL
"183";"Right";"SG";"305SH";"1";"1434984241226";NULL
"184";"Right";"google";"Nexus 5";"0";"1434988190347";NULL
"185";"Right";"docomo";"SO-04E";"1";"1434887189281";NULL
"186";"Right";"KDDI";"SOL23";"1";"1435009706206";NULL
"187";"Right";"SBM";"SBM206SH";"1";"1435018001523";NULL
"188";"Right";"VEGA";"IM-A850S";"1";"1435019334990";NULL
"189";"Right";"KDDI";"LGV31";"1";"1435027752276";NULL
"190";"Right";"VEGA";"IM-A850S";"1";"1435037054477";NULL
"191";"Right";"KYOCERA";"404KC";"1";"1435037256241";NULL
"192";"Right";"KDDI";"KYY24";"1";"1435039376915";NULL
"193";"Right";"DOCOMO";"SH-01G";"1";"1435071527390";NULL
"194";"Right";"SBM";"401SO";"1";"1435093864008";NULL
"195";"Right";"docomo";"SO-04E";"1";"1435029408945";NULL
"196";"Right";"samsung";"SC-06D";"1";"1435118536951";NULL
"197";"Right";"samsung";"SM-G530F";"1";"1435141158327";NULL
"198";"Right";"SBM";"402LG";"1";"1435145353035";NULL
"199";"Right";"KDDI";"SHL25";"1";"1435151896119";NULL
"200";"Right";"SBM";"403SC";"1";"1435151918546";NULL
"201";"Right";"google";"Nexus 5";"1";"1435160874623";NULL
"202";"Right";"DOCOMO";"F-03F";"1";"1435172793399";NULL
"203";"Right";"google";"Nexus 6";"1";"1435204472167";NULL
"204";"Right";"samsung";"SC-04F";"1";"1435209170562";NULL
"205";"Right";"DOCOMO";"F-01F";"1";"1435211828620";NULL
"206";"Right";"SBM";"302KC";"1";"1435220566711";NULL
"207";"Right";"google";"Nexus 6";"0";"1435232131552";NULL
"208";"Right";"KDDI";"SOL22";"1";"1435232548564";NULL
"209";"Right";"docomo";"SO-04E";"1";"1435276795851";NULL
"210";"Right";"google";"Nexus 7";"1";"1435282692094";NULL
"211";"Right";"docomo";"SO-02E";"1";"1435305663955";NULL
"212";"Right";"google";"Nexus 6";"0";"1435504843537";NULL
"213";"Left";"GSmart";"GSmart Guru G1";"0";"1435772452603";NULL
"214";"Left";"Huawei";"HUAWEI P7-L10";"0";"1436160668171";NULL
"215";"Left";"google";"Nexus 5";"0";"1436232323766";NULL
"216";"Right";"google";"Nexus 6";"0";"1436244187709";NULL
"217";"Right";"google";"Nexus 6";"1";"1436340129400";NULL
"218";"Right";"google";"Nexus 6";"0";"1436342113127";NULL
"219";"Right";"KDDI";"SOL26";"1";"1436353723921";"1436588101702"
"220";"Right";"DOCOMO";"SH-01F";"1";"1436353802909";NULL
"221";"Right";"DOCOMO";"F-10D";"1";"1436354917173";NULL
"222";"Right";"google";"Nexus 7";"1";"1436355198676";"1436596105488"
"223";"Right";"KYOCERA";"404KC";"1";"1436355286944";NULL
"224";"Right";"google";"Nexus 6";"1";"1436356052025";NULL
"225";"Right";"SBM";"202K";"1";"1436355995054";NULL
"226";"Right";"google";"Nexus 5";"1";"1436356199150";"1436764215656"
"227";"Left";"DOCOMO";"F-01F";"1";"1436356266407";NULL
"228";"Right";"asus";"ME173X";"1";"1436356399218";"1436571300587"
"229";"Left";"docomo";"SO-02G";"1";"1436356521071";NULL
"230";"Right";"samsung";"SC-02E";"1";"1436356774521";"1436830247018"
"231";"Right";"KDDI";"SOL22";"1";"1436357437415";NULL
"232";"Right";"docomo";"SO-04E";"1";"1436358595330";"1436735598637"
"233";"Right";"google";"Nexus 5";"1";"1436359143715";NULL
"234";"Right";"DOCOMO";"F-01F";"1";"1436360534644";NULL
"235";"Right";"SBM";"401SO";"1";"1436360911960";NULL
"236";"Right";"KDDI";"SOL23";"1";"1436361259959";NULL
"237";"Left";"asus";"ASUS_T00P";"1";"1436362685145";NULL
"238";"Right";"KDDI";"SOL23";"1";"1436363902749";NULL
"239";"Right";"htc";"HTL22";"1";"1436364829308";"1436669395216"
"240";"Left";"asus";"ASUS_T00P";"1";"1436364975272";NULL
"241";"Right";"docomo";"SO-01F";"1";"1436365385091";NULL
"242";"Right";"DOCOMO";"SH-01G";"1";"1436367460201";NULL
"243";"Right";"docomo";"SO-01F";"1";"1436368793994";NULL
"244";"Right";"DOCOMO";"SH-01G";"1";"1436369182271";NULL
"245";"Left";"DOCOMO";"F-10D";"1";"1436370090133";NULL
"246";"Right";"SG";"304SH";"1";"1436370266134";NULL
"247";"Right";"docomo";"SO-03E";"1";"1436371627483";NULL
"248";"Right";"SBM";"401SO";"1";"1436384276517";NULL
"249";"Right";"google";"Nexus 5";"1";"1436385866411";"1436597708617"
"250";"Right";"KDDI";"SOL23";"1";"1436387592196";NULL
"251";"Right";"DOCOMO";"SH-01G";"1";"1436393856044";"1436610072442"
"252";"Right";"docomo";"SO-01G";"1";"1436394938694";NULL
"253";"Right";"KDDI";"SOL23";"1";"1436394594053";NULL
"254";"Right";"KDDI";"LGL24";"1";"1436396121654";NULL
"255";"Right";"SBM";"SBM206SH";"1";"1436399352321";NULL
"256";"Right";"lge";"L-01F";"1";"1436399196217";"1436679083176"
"257";"Right";"KDDI";"SHV31";"1";"1436399254821";NULL
"258";"Right";"DOCOMO";"F-01F";"1";"1436400297413";NULL
"259";"Right";"SBM";"SBM303SH";"1";"1436401957797";NULL
"260";"Right";"SBM";"SBM303SH";"1";"1436402326809";NULL
"261";"Right";"KDDI";"LGV31";"1";"1436403063969";NULL
"262";"Left";"samsung";"SC-02E";"1";"1436407766764";NULL
"263";"Right";"docomo";"SO-04E";"1";"1436409198142";"1436936306940"
"264";"Right";"docomo";"SO-01G";"1";"1436411766389";NULL
"265";"Right";"SBM";"302KC";"1";"1436412551787";NULL
"266";"Right";"KYOCERA";"404KC";"1";"1436412755561";"1436659148690"
"267";"Right";"KDDI";"SHV31";"1";"1436420120221";NULL
"268";"Right";"docomo";"SO-01F";"1";"1436426521890";NULL
"269";"Right";"SBM";"SBM303SH";"1";"1436427617866";"1436602849224"
"270";"Right";"SBM";"302KC";"1";"1436429817031";NULL
"271";"Right";"KYOCERA";"404KC";"1";"1436430475224";NULL
"272";"Right";"docomo";"SO-02E";"1";"1436437496417";NULL
"273";"Right";"SBM";"401SO";"1";"1436438957374";NULL
"274";"Right";"google";"Nexus 5";"1";"1436441132405";"1436735328934"
"275";"Right";"Lenovo";"YOGA Tablet 2-1050L";"1";"1436443049775";NULL
"276";"Right";"DOCOMO";"SH-01F";"1";"1436445090955";NULL
"277";"Left";"SG";"402SH";"1";"1436445861077";"1436777242689"
"278";"Right";"SG";"304SH";"1";"1436445884022";NULL
"279";"Right";"DOCOMO";"SH-01G";"1";"1436448118831";NULL
"280";"Right";"docomo";"SO-03F";"1";"1436451544934";NULL
"281";"Right";"samsung";"SM-G910S";"1";"1436452972950";"1436915257453"
"282";"Right";"samsung";"SC-04E";"1";"1436455727313";NULL
"283";"Right";"DOCOMO";"SH-02E";"1";"1436459999533";NULL
"284";"Right";"SBM";"201F";"1";"1436476988095";NULL
"285";"Right";"DOCOMO";"SH-06E";"1";"1436486256023";NULL
"286";"Right";"docomo";"SO-04E";"1";"1436492272317";NULL
"287";"Right";"samsung";"SC-04E";"1";"1436502370991";NULL
"288";"Right";"DOCOMO";"SH-07E";"1";"1436503850021";NULL
"289";"Right";"Huawei";"302HW";"1";"1436504036476";NULL
"290";"Right";"KDDI";"SOL26";"1";"1436504725245";NULL
"291";"Right";"KDDI";"KYY24";"1";"1436504997524";NULL
"292";"Right";"google";"Nexus 7";"1";"1436510465386";NULL
"293";"Right";"google";"Nexus 7";"1";"1436510498910";NULL
"294";"Right";"google";"Nexus 7";"1";"1436510532275";NULL
"295";"Right";"DOCOMO";"SH-06E";"1";"1436510777662";NULL
"296";"Right";"docomo";"SO-04E";"1";"1436515644987";NULL
"297";"Left";"DOCOMO";"SH-01F";"1";"1436520791985";NULL
"298";"Left";"DOCOMO";"SH-01G";"1";"1436523868609";NULL
"299";"Left";"docomo";"SO-01G";"1";"1436526620610";NULL
"300";"Right";"google";"Nexus 5";"1";"1436530959453";NULL
"301";"Right";"docomo";"SO-04E";"1";"1436533422219";NULL
"302";"Right";"docomo";"SO-04E";"1";"1436533783684";NULL
"303";"Right";"docomo";"SO-04E";"1";"1436534324031";NULL
"304";"Right";"google";"Nexus 5";"1";"1436538589011";NULL
"305";"Right";"KDDI";"SCL23";"1";"1436546342637";NULL
"306";"Right";"SBM";"401SO";"1";"1436580482624";NULL
"307";"Right";"asus";"ME173X";"1";"1436581991578";NULL
"308";"Right";"KDDI";"LGV31";"1";"1436586532551";NULL
"309";"Right";"KDDI";"LGV31";"1";"1436586664907";NULL
"310";"Right";"KDDI";"SHV31";"1";"1436587424028";NULL
"311";"Right";"SBM";"SBM203SH";"1";"1436587074636";NULL
"312";"Right";"KDDI";"SOL22";"1";"1436592633700";NULL
"313";"Right";"samsung";"SC-06D";"1";"1436600452767";NULL
"314";"Right";"KDDI";"SHL23";"1";"1436601931446";NULL
"315";"Right";"KDDI";"LGV31";"1";"1436609269603";NULL
"316";"Right";"SBM";"WX10K";"1";"1436617475869";NULL
"317";"Right";"KDDI";"SOL26";"1";"1436619704012";NULL
"318";"Right";"docomo";"SO-01G";"1";"1436620988404";NULL
"319";"Right";"SG";"304SH";"0";"1436623356272";NULL
"320";"Right";"docomo";"SO-04F";"1";"1436625096616";NULL
"321";"Left";"SBM";"402ZT";"1";"1436632201785";NULL
"322";"Right";"KDDI";"SHL22";"1";"1436642581895";NULL
"323";"Right";"google";"Nexus 5";"1";"1436656395423";NULL
"324";"Right";"SBM";"SBM303SH";"1";"1436661268822";NULL
"325";"Right";"DOCOMO";"F-01F";"1";"1436672980101";NULL
"326";"Left";"DOCOMO";"SH-01F";"1";"1436674695140";NULL
"327";"Right";"docomo";"SO-03F";"1";"1436682206770";NULL
"328";"Right";"KDDI";"SHV31";"1";"1436707899649";NULL
"329";"Right";"docomo";"SO-01F";"1";"1436725732877";NULL
"330";"Right";"KDDI";"SOL26";"1";"1436758171069";NULL
"331";"Right";"KDDI";"SOL25";"1";"1436790947511";NULL
"332";"Right";"samsung";"SC-05G";"1";"1436819594813";NULL
"333";"Right";"Huawei";"HW-03E";"1";"1436506317091";NULL
"334";"Right";"docomo";"SO-01G";"1";"1436853529765";NULL
"335";"Left";"DOCOMO";"SH-04F";"1";"1436871503998";NULL
"336";"Right";"htc";"HTL22";"1";"1436872300441";NULL
"337";"Right";"google";"Nexus 6";"0";"1436856086091";NULL
"338";"Right";"docomo";"SO-02E";"1";"1436881303260";NULL
"339";"Right";"KDDI";"SOL25";"1";"1436883307185";NULL
"340";"Right";"docomo";"SO-04E";"1";"1436922635705";NULL
"341";"Right";"samsung";"SC-04F";"1";"1436928004199";NULL
"342";"Right";"KYOCERA";"404KC";"1";"1436930609090";NULL
"343";"Right";"google";"Nexus 5";"1";"1436930698877";NULL
"344";"Right";"samsung";"GT-I9505";"1";"1436949517251";NULL
